Credit Card Number,Name,ID Number,Amount,Direction,Transaction Time
4033081536056651,Joshua Knox,700712184,85,out,2022-12-30 13:02:59
4033081536056651,Joshua Knox,700712184,4672,out,2022-12-30 14:01:39
4034485015215754,Paul Anderson,960520167,87,out,2022-12-30 08:48:35
4034485015215754,Paul Anderson,960520167,6213,out,2022-12-30 13:02:50
4038177814620815,David Robinson,97110424,29,in,2022-12-30 21:20:53
4038177814620815,David Robinson,97110424,9693,in,2022-12-30 22:39:37
4043043348410946,Nancy Medina,711024457,50,in,2022-12-30 11:11:20
4043043348410946,Nancy Medina,711024457,5672,out,2022-12-30 15:31:49
4043495057825526,Michael Townsend,720112898,75,in,2022-12-30 17:12:16
4043495057825526,Michael Townsend,720112898,7380,in,2022-12-30 17:16:12
4043863675174769,Craig Mills,040228866,2,in,2022-12-30 01:33:12
4043863675174769,Craig Mills,040228866,6361,in,2022-12-30 02:17:42
4045337844660006,Joseph Hogan,980619670,35,out,2022-12-30 19:34:50
4045337844660006,Joseph Hogan,980619670,6471,in,2022-12-30 20:38:48
4057989211182181,Kathy Vasquez,81102080,95,in,2022-12-30 07:57:50
4057989211182181,Kathy Vasquez,81102080,3954,out,2022-12-30 07:59:28
4060138767582841,Tommy Arias,040926893,48,in,2022-12-30 22:21:51
4060138767582841,Tommy Arias,040926893,4029,in,2022-12-30 22:26:38
4071778822362775,Brandon Lucero,510216869,90,in,2022-12-30 01:30:06
4071778822362775,Brandon Lucero,510216869,3745,out,2022-12-30 05:16:52
4077325831459707,Caitlyn Jones,650411651,5,out,2022-12-30 16:28:00
4077325831459707,Caitlyn Jones,650411651,3738,out,2022-12-30 17:57:31
4084427503328664,Shawn Hoover,921104905,59,out,2022-12-30 11:15:14
4084427503328664,Shawn Hoover,921104905,8273,out,2022-12-30 14:01:31
4091621154565803,Brent Meyers,790711829,83,out,2022-12-30 09:37:11
4091621154565803,Brent Meyers,790711829,8021,out,2022-12-30 10:45:50
4094924951129840,Brent Boyle,811206419,97,out,2022-12-30 06:54:02
4094924951129840,Brent Boyle,811206419,6557,in,2022-12-30 14:20:35
4108349406417364,Tyler Hughes,630421329,37,in,2022-12-30 00:29:40
4108349406417364,Tyler Hughes,630421329,9534,in,2022-12-30 00:34:18
4117256961253234,Todd Ellis,730130980,6,in,2022-12-30 23:49:07
4117256961253234,Todd Ellis,730130980,2477,out,2022-12-30 23:51:26
4120665227965800,Jessica Roach,930630988,67,in,2022-12-30 10:52:19
4120665227965800,Jessica Roach,930630988,9499,out,2022-12-30 14:39:57
4126783404911713,Samantha Tran,690614343,70,out,2022-12-30 10:43:47
4126783404911713,Samantha Tran,690614343,9055,out,2022-12-30 10:50:31
4131548994368035,Becky Brown,961121898,63,in,2022-12-30 04:17:48
4131548994368035,Becky Brown,961121898,4278,out,2022-12-30 08:09:56
4134868483711470,Austin Porter,930109851,54,in,2022-12-30 15:18:53
4134868483711470,Austin Porter,930109851,6393,out,2022-12-30 15:22:07
4136944331930915,Jessica Lewis,990405461,75,out,2022-12-30 17:46:34
4136944331930915,Jessica Lewis,990405461,9727,in,2022-12-30 19:40:35
4146191890106879,Michael Ortega,620807930,35,in,2022-12-30 17:49:33
4146191890106879,Michael Ortega,620807930,7763,in,2022-12-30 20:17:47
4149194422924626,Juan Sanders,611114449,52,in,2022-12-30 21:15:48
4149194422924626,Juan Sanders,611114449,4500,in,2022-12-30 21:38:39
4153641243468178,Manuel Olson,431119363,35,in,2022-12-30 08:42:20
4153641243468178,Manuel Olson,431119363,9392,out,2022-12-30 14:32:42
4154802779873327,Bryan Morgan,920604966,88,in,2022-12-30 11:29:06
4154802779873327,Bryan Morgan,920604966,6812,out,2022-12-30 11:33:32
4163126609593809,Jamie Mason,791103878,53,in,2022-12-30 05:16:48
4163126609593809,Jamie Mason,791103878,3749,in,2022-12-30 05:22:27
4165641566274621,Pamela Smith MD,740727455,79,in,2022-12-30 17:56:44
4165641566274621,Pamela Smith MD,740727455,9325,in,2022-12-30 21:49:40
4173123737776065,Ebony Brown,430828695,58,out,2022-12-30 09:17:43
4173123737776065,Ebony Brown,430828695,3883,out,2022-12-30 09:24:34
4182410355950307,Raymond Ray,740813234,78,out,2022-12-30 16:00:09
4182410355950307,Raymond Ray,740813234,9607,in,2022-12-30 20:56:29
4190608148693320,Michael Jefferson,030629695,22,in,2022-12-30 14:57:39
4190608148693320,Michael Jefferson,030629695,4376,out,2022-12-30 18:29:22
4196311138311342,Mr. James Myers,500314427,53,out,2022-12-30 07:16:19
4196311138311342,Mr. James Myers,500314427,4118,in,2022-12-30 15:26:17
4197177697603406,Kimberly Ellison,680114158,21,out,2022-12-30 01:23:47
4197177697603406,Kimberly Ellison,680114158,2340,out,2022-12-30 04:10:35
4198848007602390,Carrie Walter,040905474,45,out,2022-12-30 04:49:40
4198848007602390,Carrie Walter,040905474,5233,out,2022-12-30 07:00:50
4223692427563751,Joseph Murphy,940716546,68,in,2022-12-30 20:50:07
4223692427563751,Joseph Murphy,940716546,8884,in,2022-12-30 20:51:29
4226429878419168,Anthony Spence,711122404,88,out,2022-12-30 03:23:24
4226429878419168,Anthony Spence,711122404,9250,in,2022-12-30 04:33:53
4226443124896293,Tricia Rivers,551122705,43,out,2022-12-30 10:32:34
4226443124896293,Tricia Rivers,551122705,9571,in,2022-12-30 16:21:41
