Credit Card Number,Name,ID Number,Amount,Direction,Transaction Time
4000359206270995,Tim Harding PhD,500514568,6365,out,2022-12-30 06:35:45
4000359206270995,Tim Harding PhD,500514568,442,in,2022-12-30 08:44:09
4000359206270995,Tim Harding PhD,500514568,6565,in,2022-12-30 08:53:38
4000359206270995,Tim Harding PhD,500514568,6545,in,2022-12-30 09:27:36
4000359206270995,Tim Harding PhD,500514568,8770,in,2022-12-30 11:19:58
4000359206270995,Tim Harding PhD,500514568,2145,in,2022-12-30 12:15:30
4000359206270995,Tim Harding PhD,500514568,4020,out,2022-12-30 13:23:42
4000359206270995,Tim Harding PhD,500514568,8959,out,2022-12-30 18:34:01
4000359206270995,Tim Harding PhD,500514568,1926,in,2022-12-30 18:40:58
4000359206270995,Tim Harding PhD,500514568,2417,out,2022-12-30 21:10:51
4000359206270995,Tim Harding PhD,500514568,4254,in,2022-12-30 21:29:19
4000521446870930,Jimmy Smith,800306550,6581,out,2022-12-30 04:35:37
4000521446870930,Jimmy Smith,800306550,7406,in,2022-12-30 08:10:24
4000521446870930,Jimmy Smith,800306550,6172,out,2022-12-30 08:18:35
4000521446870930,Jimmy Smith,800306550,6044,out,2022-12-30 09:35:56
4000521446870930,Jimmy Smith,800306550,7979,in,2022-12-30 12:17:21
4000521446870930,Jimmy Smith,800306550,3671,out,2022-12-30 13:30:47
4000521446870930,Jimmy Smith,800306550,2257,out,2022-12-30 16:16:07
4000521446870930,Jimmy Smith,800306550,9356,in,2022-12-30 16:28:28
4000521446870930,Jimmy Smith,800306550,2252,in,2022-12-30 16:36:07
4000521446870930,Jimmy Smith,800306550,2946,in,2022-12-30 18:22:43
4001457336927192,Morgan Woods,040524810,9126,in,2022-12-30 02:57:04
4001457336927192,Morgan Woods,040524810,2315,in,2022-12-30 03:38:46
4001457336927192,Morgan Woods,040524810,4525,out,2022-12-30 06:45:50
4001457336927192,Morgan Woods,040524810,6564,in,2022-12-30 14:08:24
4001457336927192,Morgan Woods,040524810,9901,out,2022-12-30 14:47:02
4001457336927192,Morgan Woods,040524810,4448,out,2022-12-30 16:13:27
4001457336927192,Morgan Woods,040524810,4028,in,2022-12-30 16:14:25
4001457336927192,Morgan Woods,040524810,3762,in,2022-12-30 18:19:22
4001457336927192,Morgan Woods,040524810,6797,in,2022-12-30 19:22:11
4001457336927192,Morgan Woods,040524810,5712,in,2022-12-30 20:05:27
4001457336927192,Morgan Woods,040524810,4473,in,2022-12-30 20:13:37
4001678197534385,Tara James,040405712,747,in,2022-12-30 10:29:41
4001678197534385,Tara James,040405712,5401,out,2022-12-30 11:01:49
4001678197534385,Tara James,040405712,2156,out,2022-12-30 11:08:45
4001678197534385,Tara James,040405712,3732,out,2022-12-30 13:52:57
4001678197534385,Tara James,040405712,1047,in,2022-12-30 22:59:55
4001703230616609,Tyler Acosta,500619640,9219,out,2022-12-30 01:07:03
4001703230616609,Tyler Acosta,500619640,4830,out,2022-12-30 04:13:08
4001703230616609,Tyler Acosta,500619640,5734,out,2022-12-30 09:31:05
4001703230616609,Tyler Acosta,500619640,6158,out,2022-12-30 13:45:58
4001703230616609,Tyler Acosta,500619640,7128,in,2022-12-30 13:55:23
4001703230616609,Tyler Acosta,500619640,2664,out,2022-12-30 19:12:27
4001703230616609,Tyler Acosta,500619640,9758,in,2022-12-30 23:17:07
4001780042960680,Christopher Thomas,780420854,915,out,2022-12-30 01:20:06
4001780042960680,Christopher Thomas,780420854,3193,out,2022-12-30 05:52:10
4001780042960680,Christopher Thomas,780420854,5658,out,2022-12-30 10:48:41
4001780042960680,Christopher Thomas,780420854,869,in,2022-12-30 13:59:43
4001780042960680,Christopher Thomas,780420854,1477,in,2022-12-30 20:46:44
4002610883981835,Stephanie Dougherty,690206589,1934,out,2022-12-30 01:21:57
4002610883981835,Stephanie Dougherty,690206589,2271,in,2022-12-30 01:28:28
4002610883981835,Stephanie Dougherty,690206589,5036,in,2022-12-30 03:39:10
4002610883981835,Stephanie Dougherty,690206589,6859,in,2022-12-30 05:42:17
4002610883981835,Stephanie Dougherty,690206589,8198,out,2022-12-30 11:35:01
4002610883981835,Stephanie Dougherty,690206589,9732,out,2022-12-30 11:41:37
4002610883981835,Stephanie Dougherty,690206589,1175,in,2022-12-30 11:42:48
4002626022821385,Jonathan Reyes,600516282,1461,out,2022-12-30 01:17:41
4002626022821385,Jonathan Reyes,600516282,4189,in,2022-12-30 04:50:15
4002626022821385,Jonathan Reyes,600516282,2665,in,2022-12-30 10:12:59
4002626022821385,Jonathan Reyes,600516282,3118,in,2022-12-30 14:51:40
4002626022821385,Jonathan Reyes,600516282,4889,in,2022-12-30 16:53:02
4002626022821385,Jonathan Reyes,600516282,4775,out,2022-12-30 18:26:35
4002626022821385,Jonathan Reyes,600516282,1533,out,2022-12-30 18:32:22
4002626022821385,Jonathan Reyes,600516282,7598,in,2022-12-30 20:52:59
4002626022821385,Jonathan Reyes,600516282,2834,in,2022-12-30 23:47:05
4003012340059314,Briana Welch,520506854,772,out,2022-12-30 03:08:03
4003012340059314,Briana Welch,520506854,5642,out,2022-12-30 03:14:50
4003012340059314,Briana Welch,520506854,9690,in,2022-12-30 03:22:36
4003012340059314,Briana Welch,520506854,1706,out,2022-12-30 03:28:55
4003012340059314,Briana Welch,520506854,2975,out,2022-12-30 05:11:04
4003012340059314,Briana Welch,520506854,3825,in,2022-12-30 13:53:36
4003012340059314,Briana Welch,520506854,4173,out,2022-12-30 18:13:40
4003012340059314,Briana Welch,520506854,8282,out,2022-12-30 23:12:03
